scenario,domain,issue_id
"The builder brochure showed a swimming pool, gym and club house. Three years after possession none of these amenities exist and the builder says those pictures were only artistic impressions.",consumer_issues,misleading_advertisement
"The online ad showed a 5000 mAh phone at Rs 3,999 but on adding it to the cart the price becomes Rs 7,999, and the lower price quietly applies to a different basic model shown in the same ad.",consumer_issues,misleading_advertisement
"I paid a wedding photographer Rs 60,000 in advance and he has delivered only half the edited photos and no album even eight months after the wedding.",consumer_issues,service_deficiency
"The AMC company for my water purifier has skipped two scheduled services this year even after taking the full annual charge in advance.",consumer_issues,service_deficiency
"the lift repair company took payment from our building and did such poor work that the lift stopped again in one week. now they are not coming back to fix it",consumer_issues,service_deficiency
"I booked a packers and movers service for shifting from Pune to Nagpur. They came a day late, broke my fridge door and TV stand, and are now not responding about any compensation.",consumer_issues,service_deficiency
"The broadband company promised 100 mbps but I hardly get 10 mbps in the evenings and my complaints keep getting closed automatically without any fix.",consumer_issues,service_deficiency
"I paid a beauty salon in advance for a six session package with a written receipt listing the sessions. They cancelled my slots three times from their side and now say the package validity has expired.",consumer_issues,service_deficiency
"The medical shop near the hospital charges 20 to 30 rupees above the printed MRP on medicines at night saying night charges apply.",consumer_issues,unfair_trade_practice
"A mobile shop sold me a demo piece as a brand new sealed phone. The box was resealed and the warranty on the company website had already started five months earlier.",consumer_issues,unfair_trade_practice
"Complaint: restaurant added 10 percent service charge compulsorily and claimed it is a government tax when I questioned it. They refused to remove it from the bill even after a long argument.",consumer_issues,unfair_trade_practice
"The electronics store forced me to buy an extended warranty and an accessory pack saying the festival discount would not apply otherwise, and billed them without telling me the actual prices.",consumer_issues,unfair_trade_practice
"A traffic constable stopped me near the signal at night, checked all my papers which were correct, and still said give 200 for tea or he will find some problem to write a challan for.",traffic_enforcement,bribe_demand
"traffic police stopped my bike said helmet strap is loose. asked 500 cash on the spot no receipt. when i asked for a proper challan he said the fine will become 2000 then",traffic_enforcement,bribe_demand
"During a checking drive the officer took my licence and said the fine for my broken indicator is Rs 1,500 but he can settle it for 500 cash without any entry. I felt cornered and paid him.",traffic_enforcement,bribe_demand
"An official at the border checkpost demanded money from our tempo driver to let the vehicle pass even though the permit and all papers were completely valid.",traffic_enforcement,bribe_demand
"The officer said my car window tint is illegal and I must pay him directly or the car will be seized. He refused to issue any official memo or receipt for the money he was demanding.",traffic_enforcement,bribe_demand
"I received an e-challan for jumping a signal in Hyderabad on a date when I and my car were both in Chennai. The photo on the challan clearly shows a different vehicle with a similar number plate.",traffic_enforcement,wrongful_challan
"got challan 1000 for no helmet but i was wearing it. camera photo itself showing helmet on my head. still challan came, how?",traffic_enforcement,wrongful_challan
"Two challans got generated for the same offence at the same time and place. I paid one but the second one still shows pending and the late fee on it keeps growing.",traffic_enforcement,wrongful_challan
"My scooter was sold two years ago with proper transfer forms submitted, but challans of the new owner still keep coming in my name because the record was never updated.",traffic_enforcement,wrongful_challan
"An e-challan says I was driving at 80 in a 40 zone but that stretch has no speed limit board anywhere and every vehicle moves at the same speed there.",traffic_enforcement,wrongful_challan
"I got fined for parking in a no parking zone but there was no sign board at that spot and half the market parks there every single day.",traffic_enforcement,wrongful_challan
"The traffic police refused to accept my driving licence shown from the DigiLocker app and insisted only the physical card is valid, then wrote a challan for not carrying a licence.",traffic_enforcement,document_acceptance_or_verification
"officer said the insurance copy in the mparivahan app is not valid and he wants a printed paper copy. is soft copy not allowed? he made a challan for no insurance",traffic_enforcement,document_acceptance_or_verification
"During vehicle checking the officer said my pollution certificate looks fake because the QR code did not scan on his phone, though I got it from an authorised centre only last month.",traffic_enforcement,document_acceptance_or_verification
"I had left my licence at home and told the officer I could produce it later or show the digital copy, but he refused to give any time and treated me as if I was driving without a licence at all.",traffic_enforcement,document_acceptance_or_verification
"The constable questioned my out of state registration and insurance saying Karnataka documents are not valid in Maharashtra and threatened action unless I re-register the car immediately.",traffic_enforcement,document_acceptance_or_verification
"A traffic officer took away my driving licence on the spot for a mobile phone driving offence and gave me no receipt or any paper about when and how I will get it back.",traffic_enforcement,document_seizure_or_retention
"police took my RC book last week in checking, said come to station and collect. went two times, nobody there knowing anything about it",traffic_enforcement,document_seizure_or_retention
"The officer kept my original licence and told me it will be sent to court, but the challan copy he gave me does not mention any seizure of documents anywhere.",traffic_enforcement,document_seizure_or_retention
"During a drive against autos, the inspector collected permits and licences of many drivers including mine. We were given no acknowledgment and he has not returned them for days.",traffic_enforcement,document_seizure_or_retention
"My son's learner licence was taken by the traffic police and they are asking him to bring his father to the chowki to get it back, without giving anything in writing about why it was taken.",traffic_enforcement,document_seizure_or_retention
"My bike was towed and kept at the police chowki over a wrong parking issue and now they are asking a big amount as custody charges which nobody is able to explain the breakup of.",traffic_enforcement,vehicle_detention
"traffic police detained my auto saying permit expired but permit renewal reciept is with me only. auto standing at station 4 days, daily earning fully loss",traffic_enforcement,vehicle_detention
"The police seized my friend's car at a night checkpoint saying the documents need verification. It has been a week and there is no written order about why the car is being held.",traffic_enforcement,vehicle_detention
"My tempo was stopped and detained for overloading. The goods were within the limit as per the weighbridge slip I have, but they are not releasing the vehicle without some hearing date.",traffic_enforcement,vehicle_detention
"They lifted my scooter with a crane while I had gone into the ATM for two minutes. Now the traffic office wants towing charges plus fine before releasing it and is not showing any receipt for the towing.",traffic_enforcement,vehicle_detention
"My company has been paying salaries 20 to 25 days late for the last four months. Every month HR gives a new excuse about client payments being stuck.",workplace_wage,delayed_wages
"salry of march still not credited and now april also over. manager saying next week next week only",workplace_wage,delayed_wages
"Our factory is supposed to pay wages by the 7th as per the appointment letter, but since the festival season the payments are coming on the 25th or later and workers are struggling with rent and school fees.",workplace_wage,delayed_wages
"The startup I work at paid half the salary in January and said the rest will come with the February salary. Now it is April and the pending amounts just keep piling up.",workplace_wage,delayed_wages
"I work as a security guard through an agency. The agency receives its payment from the society on time but pays us guards three weeks late every single month.",workplace_wage,delayed_wages
"the school where i teach delays salary every vacation period. june salary comes only in august when school reopens",workplace_wage,delayed_wages
"My employer has moved everyone to quarterly salary payouts because of funding issues without asking us, so we effectively wait three months for wages we earned monthly.",workplace_wage,delayed_wages
"I resigned with a full one month notice and completed all handovers, but the company has not paid my last month salary and leave encashment even after five months.",workplace_wage,unpaid_wages
"the contractor took our group for construction work in another city for 2 months. after the work finished he switched off his phone. total 65000 of 5 workers is pending",workplace_wage,unpaid_wages
"The restaurant I worked in shut down suddenly and the owner is refusing to pay the staff their last 45 days of salary, saying the business made losses.",workplace_wage,unpaid_wages
"My employer terminated me over WhatsApp without any notice and is now not paying my pending two months salary, claiming I caused losses which is completely false.",workplace_wage,unpaid_wages
"I worked as a delivery boy for a local courier franchise and when I quit, the owner refused to pay my last three weeks of wages saying staff who leave forfeit their final payment.",workplace_wage,unpaid_wages
"Our garment unit owner has not paid September wages to about forty tailors and keeps saying the exporter has not released money, but he keeps taking new orders every week.",workplace_wage,unpaid_wages
"i was housekeeping staff in office thru contractor. contractor company changed and old contractor gone without giving my 1 month salry and bonus. owner not giving money saying not his problem",workplace_wage,unpaid_wages
"My employer deducts Rs 1,500 every month calling it uniform and equipment charges, which was never mentioned anywhere in my offer letter.",workplace_wage,unauthorized_deduction
"company cut 4000 from my salry for laptop screen damage which happened becoz of old battery swelling. nobody even askd me before cutting",workplace_wage,unauthorized_deduction
"The showroom deducts stock shortage amounts equally from all salesmen whenever the inventory count is short, even from staff who were on leave on those days.",workplace_wage,unauthorized_deduction
"PF is being cut from my salary every month as per the payslip, but when I checked the EPFO portal nothing has been deposited in my PF account for the past year.",workplace_wage,unauthorized_deduction
"My salary slip shows a welfare fund and training recovery deduction totalling Rs 2,200 per month that HR cannot explain, and it started without any notice or consent from me.",workplace_wage,unauthorized_deduction
"The hotel management deducts money for every plate broken by anyone in the shift from all waiters equally. Last month my cuts crossed Rs 3,000 out of a Rs 14,000 salary.",workplace_wage,unauthorized_deduction
"I work 12 hours a day as a helper in a plastic factory for Rs 6,500 a month, which people tell me is far below the government rate for our state.",workplace_wage,minimum_wage_violation
"security agency pays 9000 per month for 12 hour duty 30 days with no weekly off. the board rate for security guards in our state is much higher than this",workplace_wage,minimum_wage_violation
"The housekeeping contractor of a big mall pays us Rs 280 per day while the notified daily wage for unskilled work in our city is above Rs 400.",workplace_wage,minimum_wage_violation
"My daughter joined a private nursery school as a helper teacher. They pay only Rs 4,000 a month for full day work saying that is standard for trainees, with no appointment letter or payslip.",workplace_wage,minimum_wage_violation
"In our packing unit women workers are paid 200 rupees per day and men 300 for the same work, and both amounts are below the minimum rate published by the labour department.",workplace_wage,minimum_wage_violation
"The dhaba owner pays the cleaning boys Rs 3,500 monthly with food, and says food counts as part of salary so he does not need to follow government wage rates.",workplace_wage,minimum_wage_violation
"I paid a builder 8 lakh advance under a registered agreement for a flat to be delivered in December 2024. There is no construction progress at the site and he has stopped responding to all the buyers.",contractual_disputes,breach_of_contract
"Our wedding hall booking agreement clearly said full AC and generator backup. On the function day the AC did not work and there was no generator, but they refuse any compensation citing electricity failure.",contractual_disputes,breach_of_contract
"I am a freelance graphic designer. A company signed a contract with me for a branding project, took all the final files after approval, and has not paid my invoice of Rs 85,000 for six months.",contractual_disputes,breach_of_contract
"interior designer took 3 lakh advance with an agreement to finish the house work in 45 days. 5 months are over and only the false ceiling is done. now he wants more money to continue",contractual_disputes,breach_of_contract
"We supplied vegetables to a restaurant chain for a year under a written supply agreement with 30 day payment terms. Bills worth 2.4 lakh have been pending for more than four months now.",contractual_disputes,breach_of_contract
"A car dealer signed a buyback agreement promising to repurchase my car at 60 percent value after three years. Now he denies the scheme even though I have the stamped agreement paper with me.",contractual_disputes,breach_of_contract
"My business partner and I had a written agreement to share profits equally. He has taken over the shop accounts, stopped showing me the books, and has not given my share for a year.",contractual_disputes,breach_of_contract
"I gave my agricultural land on a written lease for five years. The party stopped paying the yearly lease amount after the second year but refuses to vacate the land.",contractual_disputes,breach_of_contract
"the event company we hired for our college fest took 50 percent advance and cancelled 2 days before the event saying the artist is not available. no refund and no alternative was given",contractual_disputes,breach_of_contract
"A courier franchise agreement promised me exclusive rights for my area. The company opened another franchise two streets away within six months against the agreement terms, killing my business.",contractual_disputes,breach_of_contract
"I booked a modular kitchen with a 45 day installation clause in the agreement. It has been four months, materials are lying half installed in my house and the firm's site engineer has stopped visiting.",contractual_disputes,breach_of_contract
"My printing press signed an annual maintenance contract for our machines with a vendor who took the full year payment and has not done a single scheduled service visit.",contractual_disputes,breach_of_contract
"A film production house hired my sound equipment on a rental agreement for 20 days. They kept it for two months, returned two damaged speakers, and are not paying the extra rental or the damages.",contractual_disputes,breach_of_contract
"I sold my shop's goodwill and stock to a buyer with an agreement of payment in three instalments. He paid the first instalment, took possession, and now denies owing the remaining two.",contractual_disputes,breach_of_contract
"i gave my building roof for a mobile tower with an agreement of monthly rent 8000. the company stopped paying after 1 year but the tower is still running on my roof",contractual_disputes,breach_of_contract
"A software vendor signed a contract to build a billing system for my distribution business in three months. After a year and 70 percent payment, the system still cannot generate a single correct invoice.",contractual_disputes,breach_of_contract
"I vacated my rented flat in Bangalore after giving two months notice and handed over the keys, but the owner has not returned my Rs 1.2 lakh deposit for four months, citing painting charges without any bill.",contractual_disputes,security_deposit_dispute
"landlord saying he will cut 40000 from deposit for normal paint fading and small nail holes. flat was in good condition, we cleand everything before leaving. owner not giving money back",contractual_disputes,security_deposit_dispute
"The PG owner took a Rs 25,000 security deposit and now that I am leaving he says deposits are adjusted against the last month and notice period, which was never told or written anywhere.",contractual_disputes,security_deposit_dispute
"My shop's landlord is refusing to return the 3 lakh security deposit after the lease ended, saying he will pay it only when a new tenant is found for the premises.",contractual_disputes,security_deposit_dispute
"We gave a refundable caution deposit at my daughter's college admission. The course ended over a year ago and the office keeps postponing the refund saying accounts will process it.",contractual_disputes,security_deposit_dispute
"The gas agency is not refunding my cylinder security deposit even after I surrendered the connection along with the original subscription voucher.",contractual_disputes,security_deposit_dispute
"I left my rented office space after the agreement period with all dues cleared, yet the landlord returned only half the deposit claiming renovation costs he cannot show any proof for.",contractual_disputes,security_deposit_dispute
"the owner adjusted my full deposit against 2 months rent without asking me. the agreement clearly says deposit is refundable at the time of vacating not adjustable",contractual_disputes,security_deposit_dispute
"The equipment rental firm has not returned the Rs 50,000 deposit for the construction mixer I hired, though I returned the machine in working condition with their own checklist signed.",contractual_disputes,security_deposit_dispute
"My landlord in Gurgaon says the deposit will be returned only after he verifies no dues for one full year after I vacate, which was never part of our rent agreement.",contractual_disputes,security_deposit_dispute
